"id","profileName","text","date","title","rating","images","helpful"
"R1C0SVOYUNOXVI","Harsha","
  I follow James Clear email articles and this is his first book and it has already won a lot of hearts and awards. I love the content of this book. Typical James Clear content. I would highly recommend this book for people of all backgrounds. It really helps you to understand the mechanics of habits and help you with some amazing life hacks.
","Reviewed in India on 9 December 2018","This is one of the best books I have read so far.",5,"https://images-na.ssl-images-amazon.com/images/I/61qHJTKglpL.jpg","18"
"R39F7AZFT4UBAE","Cl","
  The book is very good. But the packaging is worst ever one can think off. The book cover has lost its words because of the tape used for packaging
","Reviewed in India on 9 October 2020","Worst packaging, no problem about content",1,"https://images-na.ssl-images-amazon.com/images/I/61jSi1ljYvL.jpg","12"
"R11GJLM0JRG11I","Vyom Verma","
  It's an excellent book for people who wanna change their habits. Nicely written and proven way to do so.Packaging was good but not plastic free.Pages quality could have been better but it's not bad either.
","Reviewed in India on 6 September 2020","Excellent book.",5,"https://images-na.ssl-images-amazon.com/images/I/61wUAOHPpJL.jpg
https://images-na.ssl-images-amazon.com/images/I/7150kSeXZ9L.jpg
https://images-na.ssl-images-amazon.com/images/I/71u6ydKjwML.jpg","10"
"RULVLAY642RD","Karan Thakur","
  The delivered copy seems like a pirated version of the original. Paper and print quality was exceptionally poor. Have been ordering books for years from Amazon, have never been delivered such a poor version.
","Reviewed in India on 30 December 2019","Copy feels Pirated",1,"","14"
"R3IRYNJ8Q24WWB","Prateek Dwivedi","
  Many of you will find this book very simple and that's what the whole idea is about ,KEEP IT SIMPLE.In this book James talks about habits and that to very small habits which are not even worth noticing but will give you sudden results.When ever we want to start something new we always set a goal that seems to be un achievable ,for example if you want to loose weight you give your self a target of 5 kg or 10 kg and that seems to be very difficult so better start with half a kilo ,that might sound funny but with every half a kilo lost it will turn out to be 5 - 10 kg in few months and with every half a kilo lost you will feel a sense of pride and accomplishment in short run which you could not have experienced if your goal was 5 kg.Make it small make it easy make it attractive that's what the idea is about.One thing that I really liked the most is the concept of habit stacking . When ever you are starting something new don't plan a seperate time schedule for it but just stack it with your current habit.Example - When ever you are going to eat just do 2 pushups before that ,when ever you wake up in the morning just do 2 situps or meditate ,just before sleep read for 10 min etc.By applying this habit stacking I am able to exercise /meditate/read on a daily basis.It all started with 2 pushups to 20 ,from 2 situps to 40 ,from reading 10 min to hours of reading.--I was always lazy so I never exercise ,after reading this book I made it easy ,I fixed my exercise band to one leg of the bed so when ever I used to  go to sleep or I wake up in the morning or I pass by it- I exercise.--I was always eating like my moto was "" eat till you sleep"" so as the author says self control is very difficult for everyone to better make the things you want to avoid INVISIBLE ,so I gave away all the snacks and extra food stuff I had in my home and un installed food delivery apps and guess what it worked but yes you will still need some self control for not buying food stuff and installing food delivery apps.-- I was a social media addict always on my mobile so I made it DIFFICULT , uninstalled all the social media apps and before doing that temporarily disable my account.-- Had an habit of over spending and buying worth less stuff and just filling up the closest, so I pleaged not to spend a single penny untill and unless it's absolutely necessary and I started tracking my spendings on a daily basic.Smaller the target easier it is to achieve and more you do it ,it becomes a habit and habit transforms into big results. Just as every substance has a boiling point which is reached slowly and gradually after continuous heating ,so it needs to reach at a particular temperature before it boils,these small habbits are your continuous heating and sooner or later they will give you results ,Big Results.What changed for me after reading this book?1 I exercise daily and now I am in shape.2 I read on a daily basis.3 Binge eating almost stopped.4 More focused.Hope this helps..
","Reviewed in India on 28 October 2021","No matter how small but it counts.",5,"https://m.media-amazon.com/images/I/81cXhHrRsdL.jpg","5"
"R206EV7PCRABR1","DEBAPRIYA ROY","
  Book is amazing no doubt bt the reason to gave it one star because of its quality..paper quality is worst...and the seller cloudtailretail has charged 532/- for this cheap paperback copy...it is not even justify a value of 200 Rs...local market cheap copy has delivered.
","Reviewed in India on 19 February 2021","Worst product quality.",1,"https://images-na.ssl-images-amazon.com/images/I/B1l6nka6NRS.jpg","8"
"R16FPY53MP7AMF","Sonakshi","
  This book is about how one can build good habits and break the bad ones. It is an extremely practical book so all that is mentioned can be applied in real life. Also, the advanced tactics given in the end were like icing on the cake. If followed, results are GUARANTEED! My least favourite part was the introduction that made me procrastinate reading this book for weeks! But somehow I gathered strength to read further and then realised that it isn't really that bad. I broke some of my bad habits and am very consistent with the good ones. Thanks to this one and my determination ofc.And about the physical appearance, the cover has a soft matt texture which feels good to hold, the size is big and also convenient at the same time and the font size is just perfect.
","Reviewed in India on 7 May 2021","It’s an amazing amazing guide. A must read if you struggle with habits",5,"https://images-na.ssl-images-amazon.com/images/I/81RGJn8uCjL.jpg","5"
"RH5MPKOU7SZ4O","Khushi","
  There’s some stain in front cover. But the pages are so bad firstly it’s not white pages it’s greyish pages it’s doesn’t look good. Also the cover of the book in creamish colour its should be white. Disappointed.
","Reviewed in India on 5 March 2021","Check reviews and then buy. You can return easily",1,"","8"
"R1P27HI8UB7OW5","Siddharth Kashyap","
  This is thee best successor to Charles Duhigg's power of habit... Built on solid, significant and common real life events, the principles of forming and maintaining constructive habits are as clear and simple as it gets... Finally a  real manual for habit forming... anyone who happen to stumble accross this book and want to change  themselves, can buy this book with eyes closed... Big thanks to James Clear!!!
","Reviewed in India on 18 January 2019","Open new doors in all directions!!!",5,"","12"
"R36X8VWR4VT2Z0","Dr R K Mehta","
  So there are some books that you read and feel a regret as to why you didn’t read them earlier, this is one of those books for me. A remarkable book, and I’ll have to read this again. There is so much for everyone to take from it.Alright here are a few key ideas:1. Work towards  1% better ever day.2. Small habits define you.3. Do things the way you vision your identity to be. So let your identity shape your habits.4. Make good habits attractive, easier and and bad ones impossible and really unattractive.5. Anytime during the day ask yourself if what you are doing will lead you to who you intent to be.6. Environment- Cues have a huge impact, so be very cautious about the cues you give your brain.Overall, James clear’s Atomic habit is a must read for anyone in any field really, and certainly a gift for a lot of my loved ones in coming days.
","Reviewed in India on 31 July 2020","One of the best books I ever read!",5,"","4"
"R1HMQPF3U16YVK","Charan","
  How long it would take to make a new habit? Many of us would've come across the famous answer ""It would just take 21 days to cultivate a new habit."" But James easily gets through that question in the early pages of this book by an evident ""threshold"".The author just spots the areas and hits the bull's eye in every single law to form or break a habit. The book is so tempting to know about the human psychology associated with behaviors. Each case study, each example, and each research associated with a particular law is helpful to create a lasting impression on the point that Clear is trying to make.While talking about Diderot with the ""Habit Stacking"" technique he slowly brings the current day behavioral economics. While talking about cues that are dependent on the environmental design, he backs it up with the Netherlands domestic power consumption results. While talking about habit tracking he gives a ""moving-a-paper-clip-from-jar-to-jar"" example. This way of putting things stays with me.Breaking down all the four laws and guiding on how to identify our niches based on trial and error methods that improve the favors of a game we would like to play is simply an eye-opener. I was so impressed with the detailed walkthrough of the ""explore and exploit"" method.If this book had just spoken about habit building, it would've been just another self-improvement book available. Instead, it just expanded the vision on why we need to build a retrospective approach behind the habits we wanted to cultivate at the end. It's equivalent to removing the tiny pebbles in our shoes before we climb the mountain.His simplicity throughout the book leaves me to grasp the point ""never stop making improvements"".We need to give this book to school and college students which would allow them to travel in the path of mastery.After all, Steve Jobs said,  ""In the first 30 years of your life, you make your habits. For the last 30 years of your life, your habits make you.""Recommend it? Must read!
","Reviewed in India on 22 May 2021","Do Not Interrupt the effect of Compounding",5,"","2"
"RR0G5H6INM5AA","Sunil Uttam","
  I have been following James clear for many years now and I can tell you he is the Guru of Habits. I have used several of his tips and insights to develop as a better version of myself. I can tell you that he does deep research before publishing an article and ""atomic habits"" is no exception.The book contains deep insights into why we are the way we are and how we can change by developing and sustaining micro-habits and building on themThe book is priceless.
","Reviewed in India on 1 December 2018","Well researched, actionable insights.",5,"","12"
"RR2EC1HIZYWK","JAYABRATA DAS","
  There are some books which are feel good books, and there are books which practical books. Atomic habit is one such insanely practical book which can be applied in life the moment you started reading this book. I remember a similar book I read a few years back 'The Power of Habit' by Charles Duhigg. I would say this book is a easier version than the power of habit book. Concepts are moreover similar in both the books. This book is just written in way so that it's easy to apply the learnings from the book of n daily life. The four key things for forming habits cue, craving, response, reward are discussed in detail in separate chapters. If you are looking for a great book  on habit formation read this one first and then you can read 'The Power of Habit' book. Only thing I felt extra and not required is the last one or two chapters. The book could have been shorter. The reason I didn't rate it five star is because already another excellent book has been written on the similar topic by Charles Duhigg
","Reviewed in India on 19 May 2020","A great book on human behaviour",4,"https://images-na.ssl-images-amazon.com/images/I/71KRJ1p7s-L.jpg","3"
"R33BLD0NCDAF1K","Madhurima D.","
  Book is a 5/5But it's price was 600 inr I bought it at a price of 445 and after two days it's price drops to 350 like what ?This is unfairAmazon's prices are flucuating more than the stock market lol
","Reviewed in India on 10 June 2021","Book a five star but I'm angry on Amazon",5,"","4"
"R1GEFGL909JVTN","Sree Nidhi Tumu","
  I am not really a person interested in self-help books but this book has changed that notion of mine.The author gives real life examples before the start of each chapter which I found really interesting. For me, this book isn't just about habits or how to develop good habits and discard bad ones, but it is more about understanding 'why we behave the way we behave'. The author gives four laws of behaviour change and each law provides a set of rules to create good habits and break bad ones. The laws are explained in detail giving a lot of examples.Also, this book is filled with so many inspiring quotes! I love reading quotes when I feel low or demotivated and this book has so many good quotes. They are definitely going on the whiteboard in my study room!Some of my favorite ones are:When you fall in love with the process rather than the product, you don’t have to wait to give yourself permission to be happy.Habits are the compound interest of self-improvement.The outside world only sees the most dramatic event rather than all that preceded it.Goals are about the results you want to achieve. Systems are about the processes that lead to those results.Energy is precious, and the brain is wired to conserve it whenever possible.It's crucial to show up when you don’t feel like it—even if you do less than you hope.The people with the best self-control are typically the ones who need to use it the least.Happy reading!
","Reviewed in India on 22 August 2021","Amazing book!",5,"",1
"R3UOXW6CVQIYDI","prasanna","
  I have been postponing buying and reading this book. Finally, I have done it and this is definitely one of the best books on Habits. James has provided a clear structure to build sustainable habits and he delights every reader with bonus material including free 30 day mail training to reinforce the practical steps. Couldn't have asked for more. The examples and practicality of the concepts compel these ideas to put into practice immediately
","Reviewed in India on 13 June 2021","One of the best Practical Books on forming Good Habits",5,"","2"
"R3BXJRC6P19A23","Vinay Verma","
  I felt boring to read this one initially. but then made a habit daily to read it before going to bed. This made me feel the habit forming and it became my daily routine to read this and sleep. even when for unknown reason I forget to read it and turn lights off. I still get the book and read that in the phone flashlight so the next day I wont regret missing it. A nice easy book to read. Thanks James Clear.
","Reviewed in India on 31 March 2021","Best book to get started with working on your goals.",5,"","2"
"R355KP2VEXMBD8","vivekanandan","
  A great book  which helps to inculcate good habits and eradicate the bad habits. This book provides in depth analysis on forming the good habits.a person who reads this book definitely impove health and carrier. Really i should thank tge author.  This book is to be made as compulsary in cuuriculam of the college studies. So that chikdren will become good citizens. This book contains many real life interesting examples and their technques.out of the many self help books this book can be placed within first three places
","Reviewed in India on 2 December 2018","A great book",5,"","6"
"R1509IP3PNESJ6","Yagyawalcya Sen","
  The book is good but the page quality is pathetic. I don't know why amazon allows sellers that have compromised with the quality so much and giving the quality you get at the railway stations for 100 bucks
","Reviewed in India on 11 February 2021","Horrible page quality",1,"","5"
"R1ASMXBGG9NNU8","shail","
  I don't know.... I don't think it's original one.... perhaps it was printed ...though I'm not sure...Don't have the feel of original one...they really print this book on pulp paper.....it's not about material of the book..I'm regular buyer of books..but this.... something is wrong....
","Reviewed in India on 13 February 2019","They printed on PULP paper.....!!!!! originally????",2,"","7"
"RYN39931LJDO6","Amazon Customer","
  ATOMIC HABITSIt’s too early to tell if it’s an effective book; but it sure is an inspiring one. Its appeal lies in making good habits seem so easily attainable. It highlights the power of tiny changes; of getting 1% better every day. Like, it’s better to exercise for two minutes than to not exercise at all. It’s better to read just one page than to not read at all. Or for bad habits, try smoking one cigarette less even if you can’t quit smoking altogether. It illustrates how a single and simple change can turn into a good habit; like by changing your environment to reduce friction towards the desired habit - place a bowl of fruits on your study table than storing it out of sight. Or signing up at a gym close to your place than one off route. It encourages locking your decisions before you give in to temptation. A lot of these tricks seem obvious and known; but entirely doable!The author, James Clear draws from the Japanese philosophy of Kaizen: micro changes, from Physics: the path of least resistance, from Biology: the response of our brains to instant gratification, etc. The drawback of the book, I felt, lies in that it lays a better roadmap for building good habits than for kicking bad ones.That said, after reading the book, I have begun going for a walk; remains to see how long I continue :)
","Reviewed in India on 9 October 2021","Doable tricks can lead to good habits.",3,"",1
"R1S1A73PC7CFOV","Supriya","
  I have received book today and very disappointed.The print quality is not upto the mark . Seems like photocopied and bundled without quality check.  I am returning and asking for replacement.  Trust the new one will be upto the mark.
","Reviewed in India on 12 August 2020","Dissatisfied",1,"","6"
"R2TE9G4OF83KLB","Abhishek Damle","
  So you know something is not right in your life,and you want to fix it ASAP...then I highly recommend you to please read this book.These glitches are happening bcoz of our habits.And we must realize it,be aware of it,be conscious enough to understand it. And change the SYSTEM which has became root cause of our habits.
","Reviewed in India on 11 February 2021","Worth the re-reads!",5,"","2"
"R3BWUIXC6K1N6X","Rai","
  This book is groundbreaking, transformative and inspiring. I read it on my kindle, bought it in paperback and listened on audible as well. What a great book it is. The total package of gems of knowledge; if you want to take your life to next level, just buy it. But you have to be willing to take action and implement all the steps given in the book and live them up, you will have marvelled by the result once you form all the new productive habits. I am a living testimony of the result I got out of this book.Thus far, I wrote 3 books and I am YouTuber now.You will be surprised by the success!
","Reviewed in India on 16 December 2021","Life Changing Book",5,"",0
"R9NEAXSEIRWNO","ganesh b.","
  One of the best books I ever read on Self Help. This is definitely going to end up on my top 10 books in the self-help category. The book clearly states why we do by getting into the bones of it. The tools and strategies given are very sensible and easy to apply. This book is a must-read for all those people who wonder why they are slacking when doing the things that matter to them most. It also addresses why motivation does not last long and how we need to keep going even when motivation does not exist. The book also depicts graphically how everything we do eventually adds up in the end and why people give up when they don't see the results.If you need a clear blueprint on how to change old habits and stick to new ones and understand the science behind habits and systems that create them this is a must-read.
","Reviewed in India on 6 January 2021","One of the best books in the Self Help Category",5,"",1
"R1W7TG6533O0WT","ReithMeren","
  The book convincingly breaks down how our habits are the building blocks of our life & sheds light on how we can practice various habits to shape our life at our own will.Over the course of this book, it employs dozens of stories about top performers ranging across olympic gold medalists, award-winning artists, business leaders, lifesaving physicians, and star comedians who have all used the science of small habits to master their craft and vault to the top of their field.Each of the people, teams, and companies mentioned has faced different circumstances, but ultimately progressed in the same way: through a commitment to tiny, sustainable, unrelenting improvements of - HABITSWish you a pleasant reading!
","Reviewed in India on 15 May 2020","Must read for anyone who is willing to work for better self!",5,"",1
"R14DOYGC3B2XT2","Firefly","
  I'm only two chapters in but I'm really loving this book. I'm just glad i bought it at the right time. If just 2 chapters created in me a new outlook on my lifestyle n habits then I'm 100% sure after completing this I'll become substantially better in carrying out my daily tasks and become a better version of myself.
","Reviewed in India on 17 October 2021","Effective",5,"https://m.media-amazon.com/images/I/81mPB4ech5L.jpg",1
"R1FW7ZS1T7C2M1","Ravi Chaudhary","
   This quality of books usually found with street sellers on very low price due to piracy, poor quality of papers and print.The seller knows it.
","Reviewed in India on 14 September 2021","Duplicate and pirated.",1,"","3"
"R2TFL0IK1MMP25","TAIG-O-SIPAR","
  I regret reading it so late in my life. Things would have been very different had i read it earlier. Going to finish it for 5th times (roughly,  including Audible listens).Best thing i got from it is that i changed my going to bad habit which i was struggling for years. Basically I got main idea from a chapter mentioning immediate financial reward saving. I created a box and put some amount in it next day if i go to bed by certain time and deduct some amount form it otherwise.Must read for all.
","Reviewed in India on 10 May 2020","Regret reading it ..... so late in life.",5,"",1
"RWCHKVM7TJNQM","Shailaja Vishwanath","
  Possibly the best book I've read about building habits and more importantly, sustaining them. Clear is absolutely splendid in the way he breaks down habits into easily digestible concepts rather than those that strike fear. If you've struggled with getting off the ground with any habit, I recommend this book to you. His personal anecdotes add weight to the tips and the anecdotal evidence is fantastic.
","Reviewed in India on 8 June 2019","The only way to build habits that actually last",5,"","5"
"R3NPRGZ5VJAYWC","Kindle Customer","
  This book would most suit the person who has tried time and again but failed to cultivate certain habits or the young hopeful, all the same.  It is not going to teach you to succeed in your goal. It'll point you to the right set of systems that might sustain your habit.The author, true to his surname, is very clear in the way he has progressed through the book. Each chapter is a beautiful extension of the previous one like how a water droplet follows another that makes a beautiful waterfall. Very well structured and thought through that it could well be a thriller.Another aspect of technique that i love about this book is the way each chapter opens. It's always with an example from a different field of profession - sports, operations, advertising, philosophy and so on. This makes you relate to the problem he's discussing in the chapter and the eventual solution. It gives a bigger canvas to grapple with the concept.Things that could have been better -- If you are someone very young and have not failed in anything before -  not everything in the book is for everyone. There are things that might work and some might not. The author also makes this disclaimer albeit a little late in the book.If you are searching for techniques to abstain from a bad habit then you'll be disappointed. This book doesn't have much on that front.  There are some pointers but not as detailed as the positive habit building techniques.
","Reviewed in India on 27 May 2021","A very concise lesson in human behaviour",5,"",0
"R1O29FPG4GYCRJ","Rohan jora","
  Whether you are a victim of procrastination or struggling with your routine; whether you are a victim of bad habits or struggling to quit them; then Atomic Habits by James Clear, a consummate professional in behavioral psychology and habit formation, is the best self-help book for you. This book can make a huge difference that manifests remarkable results when practically applied to our life.It is divided into six parts- from fundamentals to advance tactics- which could provide a proven framework with examples, and step-by-step methods for making good habits obvious, attractive, easy, and satisfying and bad habits invisible, unattractive, hard, and unsatisfying. Every chapter has its summary for the readers to recall the important points in the chapter whenever they need.This book provides supplementary cheat sheets, templates, a journal that are very useful for the practical implementation of various ways and techniques mentioned in this book.I also discovered, at first to my consternation and then to my pleasure, that how basic factors, that are often underrated, are responsible for the formation of habits and making them long-lasting.The read is exceptionally interesting and flowing. I've completed this book within a week and, to my better understanding, I jotted down notes in my journal to implement them in my day-to-day life. After reading this book, I've been truly inspired by James Clear's work that I even subscribed to his Newsletter and 30 Days To Better Habits on JamesClear.com.I would highly recommend this exponentially self-improvement book to everyone.Life-changing Book5⭐️
","Reviewed in India on 9 December 2021","Life-transforming Book",5,"",0
"RGLOFCFXCMQHW","Amazon Customer","
  The book is pretty good with practical examples of how to cultivate new habits and stop the ones you want to stop. Among the best of them are1. Do the most important thing first thing in the morning2. Consistency matters3. Keep bad habits at bay by understanding how habits work from cue, desire to action4. Track your habits sjr this works wondersIt’s a book of action. If you just read the book and keep it aside it’s of no value . Need to implement the practical tips to make a differenceWorth reading . The font is pretty good and the author does not bore you . Makes for a good reading in a week
","Reviewed in India on 21 June 2020","Action oriented fun book",4,"",1
"R2DKX0VVFG0EHW","Shivansh Garg","
  The title seems like a clickbait, right?It is.I haven’t and don’t even intend to stop smoking. But I have gained enough self control that I for the first time ever, I didn’t even have a single drag while my friend was smoking besides me.Not just this, I found some fundamental flaws with my schedule which I won’t have realised had I not read this book.Thus, must read for everyone.
","Reviewed in India on 9 June 2021","Stopped smoking after reading this",5,"","2"
"R19DFLM58FLNL3","Priyanka","
  It is a must read if you are even a little bit motivated to work on yourself. The book gives you that little trigger you need, that little push to start a great journey. If you want to achieve something in life but you are clueless about where to start, then this is the book for you. It is not about general quotes that tell you to do hard work. Rather, the author gives logical and rational methods for you to move ahead in your life.Four stars because towards the end of it, I started to get distracted and bored and didn’t really read thoroughly. Maybe because I was successful in getting my habits on track and my purpose was fulfilled. Anyway, I would totally recommend it!
","Reviewed in India on 13 June 2021","Logical facts about how to get on to good habits!",4,"",1
"R28OV3YNJOR7RA","Mystic Mansion","
  Author is really knowledgeable when it comes to human behaviour and their habits!Totally practical and completely easy to understand materials and absolutely without fluffs!I really loved this book!Hope this author get more breakthroughs in his quests and enlighten us through his writings!
","Reviewed in India on 4 April 2021","Amazing revelations, author knows his stuff!",5,"",1
"R1P87D3CLBXTO4","Asma","
  I am absolutely mesmerized by this book. Why on earth did I postpone reading it. I thought it is another self help saga which got publicity online, but I was totally wrong. This book is worth all the fuss it is getting. It is not our regular I-will-fix-your-life book, it is so engaging ,I could not put it down. James Clear explained everything so simply yet rationally .We all need to read this. I could understand finally the importance of habits and how to change them. I am buying more for friends and family, everyone deserves to read this masterpiece.Don't think buy it..
","Reviewed in India on 8 August 2021","Wish I read it earlier. It should be part of syllabus",5,"",0
"R3MQ60D5OJWXD7","Syed A.","
  I got my book 2 days ago and till now I have went through only 40 pages and I'm so impressed about how the author speaks so practically. He helps us to identify what forms our identity and makes us to find out the root cause of not able to form a good habit. I'm so stuck to this book. This is such a motivation. He explains growth providing facts/proofs that you cannot deny any piece of his writing in this book. This is my first self development book and this has encouraged me to read more books.
","Reviewed in India on 6 August 2020","Life Changing!!!",5,"https://images-na.ssl-images-amazon.com/images/I/71Kg5Bpe26L.jpg",1
"R39K9SBA4WYKX7","vandana deo","
  it tells you how your habits can shape your destiny. I have been goal focussed person for my whole life but i understood that the process is more imp. Excellent book. should be read again and again.Vandana DeoAuthor of 'Soothing smoothies for health and beauty'
","Reviewed in India on 25 June 2020","this book can change your life",5,"","2"
